text,date,rating,has_official_reply,reactions_total
"Очень жаль на звонки не отвечают и на сообщение тоже, приемная комиссия не точную информацию предоставляют, все так не охотно.первый раз съездили в июне в приемную комиссию рассказали одну информацию, после в июле другую. Очень жаль",17 августа 2025,1,True,2
"На самом деле местоположение и само обучение оставляют желать лучшего. Организация учебного процесса слабая, отношение к студентам тоже далеко не на уровне. Во время практики приходится всё искать и решать самостоятельно, никакой реальной поддержки нет. При этом администрация не идёт навстречу студентам всё даётся с трудом, и за каждый шаг приходится платить немалые деньги, что касается не только платников, но и тех, кто учится на гранте.",16 августа 2025,1,True,10
"Ең тыныш, студенттер үшін көп жағдай қарастырылған лучший универ",14 августа 2025,5,False,0
Один из лучших учебных заведений в Казахстане,13 августа 2025,5,False,0
"Білімі жоғары, өте керемет университет! 2013-2017жылы оқыған Экономика факультеті түлектеріне сәлем!",13 августа 2025,5,True,0
😍,13 августа 2025,5,False,0
"Эти дни были самыми лучшими, я так не хотела уходить с сду он стал мне как свой родной дом❤️",13 августа 2025,5,False,1
"университет очень красивый! Да, он не в самом удобном месте, но внутри реально впечатляет — большие и светлые аудитории, современный ремонт и стильный дизайн. всё выглядит очень круто и современно.",12 августа 2025,5,True,0
Блат не действует!,12 августа 2025,5,False,0
sigma boy,12 августа 2025,5,False,1
Самый лучший универ❤️🔥🔥,12 августа 2025,5,False,1
👍👍👍👍👍👍,12 августа 2025,5,False,1
Алла қаласа 1жылдан кейін түсемін💙,12 августа 2025,5,False,3
топ 1 Университет,11 августа 2025,5,False,0
Хороший универ. Не зря туда сложно поступить.,9 августа 2025,5,False,0
ЛЮБИМЫЙ ЛАГЕРЬ,8 августа 2025,5,False,1
"Не советую поступать ,причин 1000",8 августа 2025,4,False,1
Түстім енд осыны 1 жылдан кейн еске алам,8 августа 2025,5,False,1
арманымдағы универ болып қалды,8 августа 2025,5,False,2
"Был тут пару раз, мне понравилось",7 августа 2025,5,False,0
лучший уник😍,7 августа 2025,5,False,0
Жаксы универ,6 августа 2025,5,False,0
Барлығы күшті тамақтары супер лагерь бар осы жерде айналайын аты вообще супер комнаталарын вообще айта алмайснғо прям күшті,5 августа 2025,5,False,0
Все понравилось,4 августа 2025,5,False,0
"Здравствуйте. Хотели поступить на Факультет Право, поехали сначала в Казну, на нас даже не взглянули, только в вашем Университете сидит девочка Сраждинова Айнура, она нам все досконально объяснила, теперь хотим только сюда, обслуживание у вас на высшем уровне, даже если выиграем грант, хотим к вам даже на платный.",4 августа 2025,5,True,2
Самый хороший универ я рада что мой сын здесь учится,3 августа 2025,5,True,0
Ещё хочу приехать обожаюю,2 августа 2025,5,False,0
Самый лучший университет🙌👍🏻,1 августа 2025,5,False,0
"Айналайын лагері үшін бұл жұлдыз. Халықтың мазасын алып, түннің жарымына дейін музыка қойып. Үйде кішкентай бала бар, кемпір шал бар дегендей. Жын ойнақ жер сияқты. Баласын осы лагерге жіберіп отырған ата аналар ойлана ма екен? Балам не алад, не үйренед деп? Или баласынан құтыла алмай, жазда да миын тыныш болсын деген ата аналар жібере ма екен баласын. Кешкі 6-7ден бастап түнгі 10ға дейін жын ойнақ музыка. Тек билейді. Түнгі ұйқысына да зиян , жалпы жақсы бір құндылық үйретеді деп айта алмаймын мынандай музыкалармен.",28 июля 2025,1,False,2
💙💙,28 июля 2025,5,False,0
"Бұл оқу орынның білім беру деңгейі жоғары екенін естіп біліп жүргенмін. Жақында барып көру бұйырды. Қатты ұнады, жақсы білім алуға бар жағдай жасалған екен. Ішінде жүрудің өзі комфорт.",26 июля 2025,5,False,0
"Как же вы уже надоели в прям смысле этого слова. Не могут нормально даже диплом выдать. На ровном месте создают проблемы, просто нелогичные проблемы, которые можно решить за секунду они могут мнуть днями.",25 июля 2025,1,True,5
айналайын лагерь🥹,24 июля 2025,5,False,3
sagynamyn,21 июля 2025,5,False,0
"2 рет гана болдым,келеси барганда айтамын
Казирше осы",20 июля 2025,4,False,1
Айналайн лагерь❤️,19 июля 2025,5,False,0
очень красивый универ там у меня был лагерь,19 июля 2025,5,False,0
Гранта нет значит пяти звезд тоже нет,18 июля 2025,1,False,12
Я учусь здесь Ин Ша Аллах,18 июля 2025,5,False,0
💘,18 июля 2025,5,False,0
"Лучший университет ! Есть минусы , но плюсов значительно больше",18 июля 2025,5,False,0
😍🥹,18 июля 2025,5,False,0
👍❤️,17 июля 2025,5,False,0
